"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2208","@API Сделать адрес избранным","chromium","Sun Apr 20 12:55:56 GMT 2025","passed","Sun Apr 20 12:55:58 GMT 2025","","api/userAddress.api.spec.js","",""
"","24620","@UI Авторизоваться на сайте с типом пользователя ""частное лицо"" c помощью пароля","chromium","Sun Apr 20 12:57:15 GMT 2025","passed","Sun Apr 20 12:57:40 GMT 2025","","ui/user.spec.js","",""
"","1836","@API Добавить новый адрес в список адресов доставки текущего пользователя","chromium","Sun Apr 20 12:55:54 GMT 2025","passed","Sun Apr 20 12:55:56 GMT 2025","@API Добавить новый адрес","api/userAddress.api.spec.js","",""
"","8971","@UI Добавить товар в избранное","chromium","Sun Apr 20 12:56:12 GMT 2025","passed","Sun Apr 20 12:56:21 GMT 2025","","ui/catalog.spec.js","",""
"","288","@API Отправить форму ""Купить в 1 клик","chromium","Sun Apr 20 12:55:53 GMT 2025","passed","Sun Apr 20 12:55:54 GMT 2025","","api/forms.api.spec.js","",""
"","1496","@API Добавить товар в избренное","chromium","Sun Apr 20 12:55:52 GMT 2025","passed","Sun Apr 20 12:55:53 GMT 2025","@API Добавление товара в избранное","api/favorites.api.spec.js","",""
"","11499","@UI Рассчитать стоимость наращивания волос и отправить форму рассчета","chromium","Sun Apr 20 12:56:21 GMT 2025","passed","Sun Apr 20 12:56:32 GMT 2025","","ui/forms.spec.js","",""
"","11921","@UI Зарегистрировать тип пользователя ""частное лицо""","chromium","Sun Apr 20 12:56:32 GMT 2025","passed","Sun Apr 20 12:56:44 GMT 2025","","ui/user.spec.js","",""
"","13372","@UI Добавить товар в корзину","chromium","Sun Apr 20 12:55:58 GMT 2025","passed","Sun Apr 20 12:56:12 GMT 2025","","ui/catalog.spec.js","",""
"","617","@API Получить список адресов доставки текущего пользователя","chromium","Sun Apr 20 12:55:54 GMT 2025","passed","Sun Apr 20 12:55:54 GMT 2025","","api/userAddress.api.spec.js","",""
