"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8803","@UI Зарегистрировать тип пользователя ""частное лицо""","chromium","Sun Apr 20 12:51:34 GMT 2025","passed","Sun Apr 20 12:51:43 GMT 2025","","ui/user.spec.js","",""
"","1249","@API Добавить товар в избренное","chromium","Sun Apr 20 12:50:59 GMT 2025","passed","Sun Apr 20 12:51:00 GMT 2025","@API Добавление товара в избранное","api/favorites.api.spec.js","",""
"","8084","@UI Добавить товар в избранное","chromium","Sun Apr 20 12:51:15 GMT 2025","passed","Sun Apr 20 12:51:23 GMT 2025","","ui/catalog.spec.js","",""
"","11422","@UI Рассчитать стоимость наращивания волос и отправить форму рассчета","chromium","Sun Apr 20 12:51:23 GMT 2025","passed","Sun Apr 20 12:51:34 GMT 2025","","ui/forms.spec.js","",""
"","2178","@API Сделать адрес избранным","chromium","Sun Apr 20 12:51:03 GMT 2025","passed","Sun Apr 20 12:51:05 GMT 2025","","api/userAddress.api.spec.js","",""
"","222","@API Отправить форму ""Купить в 1 клик","chromium","Sun Apr 20 12:51:00 GMT 2025","passed","Sun Apr 20 12:51:00 GMT 2025","","api/forms.api.spec.js","",""
"","9211","@UI Добавить товар в корзину","chromium","Sun Apr 20 12:51:05 GMT 2025","passed","Sun Apr 20 12:51:14 GMT 2025","","ui/catalog.spec.js","",""
"","2002","@API Добавить новый адрес в список адресов доставки текущего пользователя","chromium","Sun Apr 20 12:51:01 GMT 2025","passed","Sun Apr 20 12:51:03 GMT 2025","@API Добавить новый адрес","api/userAddress.api.spec.js","",""
"","18173","@UI Авторизоваться на сайте с типом пользователя ""частное лицо"" c помощью пароля","chromium","Sun Apr 20 12:51:43 GMT 2025","passed","Sun Apr 20 12:52:01 GMT 2025","","ui/user.spec.js","",""
"","484","@API Получить список адресов доставки текущего пользователя","chromium","Sun Apr 20 12:51:00 GMT 2025","passed","Sun Apr 20 12:51:01 GMT 2025","","api/userAddress.api.spec.js","",""
